round,expert,coverage,regime_tune_rows,marginal,action
0,8,0.098,1,,dropped(min-support)
0,1,0.2932,5456,8.0156,kept(prune off)
0,2,0.9386,132837,0.0497,kept(prune off)
0,3,0.2583,173,0.4102,kept(prune off)
0,4,0.4633,1456,3.4843,kept(prune off)
0,5,0.3193,6538,0.1296,kept(prune off)
0,6,0.4131,719,0.9819,kept(prune off)
0,7,0.2552,615,5.8272,kept(prune off)
