class,rows,proposed,accepted
backdoor,40030,1084,1056
benign,1474302,112210,101406
ddos,103338,85234,81455
dos,22458,14535,8198
injection,68891,12010,11732
mitm,1161,3,0
password,210951,39804,39632
ransomware,709,341,341
scanning,6029,41,39
xss,343854,167184,156811
