a,b,agreement
global,e1,0.896
global,e2,0.9726
global,e3,0.949
global,e4,0.8123
global,e5,0.9365
global,e6,0.9446
global,e7,0.95
e1,e2,0.916
e1,e3,0.9295
e1,e4,0.817
e1,e5,0.9024
e1,e6,0.9311
e1,e7,0.9152
e2,e3,0.9646
e2,e4,0.8175
e2,e5,0.9533
e2,e6,0.9625
e2,e7,0.9575
e3,e4,0.8206
e3,e5,0.9476
e3,e6,0.9827
e3,e7,0.9743
e4,e5,0.82
e4,e6,0.826
e4,e7,0.8214
e5,e6,0.9509
e5,e7,0.9419
e6,e7,0.9669
