expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,260350,normgain,0.9676,489,7946,0.7345,0.944
2,260350,normgain,0.9678,730,7665,0.7484,0.662
3,260350,normgain,0.9689,812,7291,0.7582,0.8529
4,260350,normgain,0.975,598,5920,0.6818,0.9213
5,260350,normgain,0.9699,669,7177,0.7926,0.8643
6,260350,normgain,0.9604,987,9326,0.7947,0.8735
7,260350,normgain,0.9679,719,7649,0.7833,0.8697
