class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.999964688174511,0.9996171643161736,0.9968165407876587,0.9937980846443744,0.9983881327790772,0.9966991310948029,-0.0016890016842743272
dos-hulk,46025,0.9892873276399854,0.9757540924282095,0.9992178164041282,0.9959369907658882,0.9942277758561051,0.9857422421023204,-0.008485533753784691
portscan,31786,0.9933104095029697,0.9827098396730588,0.9996853960863273,0.9834518341408167,0.9964877069744105,0.9830806968991761,-0.013407010075234371
ddos,25606,0.998050910224925,0.9967675351481871,0.9998828399593845,0.999531359837538,0.9989660352328371,0.998147534270616,-0.0008185009622211359
dos-goldeneye,2059,0.9702689948088721,0.9482758620689655,0.9985429820301117,0.9883438562408936,0.9842029679272379,0.9678953626634959,-0.016307605263742087
ftp-patator,1588,0.9949843260188088,1.0,0.9993702770780857,0.9943324937027708,0.9971724787935909,0.997158193874329,-1.4284919261919882e-05
ssh-patator,1179,0.9808333333333333,1.0,0.998303647158609,0.9838846480067854,0.9894913829340058,0.9918768704574604,0.002385487523454577
dos-slowloris,1159,0.9641068447412354,0.9073770491803279,0.996548748921484,0.9551337359792925,0.9800593975392448,0.9306431273644389,-0.049416270174805876
dos-slowhttptest,1100,0.983739837398374,0.980072463768116,0.99,0.9836363636363636,0.9868599909379248,0.9818511796733213,-0.005008811264603508
bot,393,0.46445497630331756,0.6182572614107884,0.9974554707379135,0.7582697201017812,0.6337914308811641,0.6811428571428572,0.047351426261693086
web-attack-�-brute-force,302,0.7907949790794979,0.2694610778443114,0.6258278145695364,0.4470198675496689,0.6987060998151571,0.33623910336239105,-0.36246699645276603
web-attack-�-xss,130,0.2747603833865815,0.10096818810511757,0.6615384615384615,0.5615384615384615,0.38826185101580135,0.17116060961313012,-0.21710124140267123
infiltration,7,0.7,0.0603448275862069,1.0,1.0,0.8235294117647058,0.11382113821138211,-0.7097082735533238
web-attack-�-sql-injection,4,0.07692307692307693,0.002044989775051125,0.25,0.25,0.11764705882352941,0.004056795131845842,-0.11359026369168357
heartbleed,2,0.6666666666666666,1.0,1.0,1.0,0.8,1.0,0.19999999999999996
macro avg,565877,0.7898764502801436,0.7227766900869674,0.9008793330181134,0.8596584944096423,0.8258527814183195,0.742634322790771,-0.08321845862754851
weighted avg,565877,0.9977074539098816,0.9953061391560983,0.9970346912845017,0.9929525320873618,0.9972732417709446,0.9940516117812891,-0.0032216299896554723
