expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.004932167237756615,0.08799166977405548,0.9988955218935173,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
1,Balanced_Global,0.0006909628770916647,0.13654454052448273,0.9983543276213407,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
2,Tail_Expert,0.9268710338112346,0.6964269876480103,0.9995020124555473,"0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14"
3,Spec_Group1_volume,0.0012794299821339266,0.005174129270017147,0.8867586671898575,"0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11"
4,Spec_Group2_timing,0.0006927300455752752,0.002653471427038312,0.7692949635516549,"0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11"
5,Spec_Group3_packet,0.0076659768819018976,0.025990230962634087,0.8381429110524096,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14"
6,Spec_Group4_tcp,0.0576255970820514,0.03495240956544876,0.7758606396560205,"0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11"
7,Rand_1_volume,0.00017494967987742918,0.005401361733675003,0.9764571567915672,"0, 2, 3, 4, 5, 6, 7, 9, 10"
8,Rand_2_packet,3.887770663942871e-05,0.0012706586858257651,0.8436172899693978,"0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 14"
9,Rand_3_volume,2.8274695737766336e-05,0.0035945791751146317,0.9193722027337607,"0, 1, 2, 6, 7, 10, 11, 12, 13, 14"
