a,b,agreement
global,e1,0.6731
global,e2,0.9265
global,e3,0.8512
global,e4,0.6413
e1,e2,0.6135
e1,e3,0.8168
e1,e4,0.7903
e2,e3,0.7898
e2,e4,0.5808
e3,e4,0.7862
