expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48196,normgain,0.9058,74,4464,0.6671,0.3108
2,48196,normgain,0.9332,11,3207,0.6768,0.7574
3,48196,normgain,0.8558,57,6894,0.6929,-0.0421
4,48196,normgain,0.9046,181,4418,0.6763,0.2718
