class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,15302,15302,0,19977,19977
bot,1,1,0,19932,19932
brute_force,6976,6976,0,19998,19998
ddos,6,6,0,19578,19578
dos,0,0,0,12840,12840
infiltration,3,3,0,5191,5191
web_attacks,231,231,0,483,483
