K,beta,tune_expert_balanced_nll
2,0.0,0.292081
2,0.5,0.276011
2,1.0,0.297574
4,0.0,0.228436
4,0.5,0.234961
4,1.0,0.275518
8,0.0,0.218848
8,0.5,0.234877
8,1.0,0.283383
