class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
backdoor,24,0,0.0,0
benign,23715,0,0.0,0
ddos,3155,869,0.27543581616481777,867
dos,353,0,0.0,0
injection,2548,41,0.01609105180533752,41
mitm,93,0,0.0,0
password,377,0,0.0,0
ransomware,37,0,0.0,0
scanning,5010,3679,0.7343313373253493,3679
xss,36443,15561,0.42699558214197514,15561
