expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15636,12761,15636,0,0,0,0,0,15636,0
2,1971451,12761,186000,133013,1396,39349,7600,3687,955,0
3,417,12761,417,0,0,0,417,0,0,0
4,102,12761,102,0,0,0,0,0,0,102
