class,rows,proposed,accepted
benign,3502926,1333254,35922
bot,41542,0,0
brute_force,115040,0,0
ddos,264872,109898,77439
dos,60594,11283,4878
infiltration,37631,31032,9226
web_attacks,509,325,7
