expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48199,normgain,0.7642,3936,7429,0.5939,0.3672
2,48199,normgain,0.7061,2742,11423,0.7148,0.288
3,48199,normgain,0.6306,4368,13436,0.8335,0.6006
4,48199,normgain,0.6894,1418,13553,0.8962,0.2377
