class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,11012,9606,-1406,12929,12936
bot,0,0,0,19933,19931
brute_force,6976,6976,0,13425,13425
ddos,6,7,1,16251,16701
dos,0,0,0,6714,7379
infiltration,7072,7052,-20,16772,16763
web_attacks,8956,9271,315,472,471
