K,beta,tune_expert_balanced_nll
2,0.0,0.236904
2,0.5,0.274714
2,1.0,0.349304
4,0.0,0.262012
4,0.5,0.265432
4,1.0,0.318441
8,0.0,0.269044
8,0.5,0.27316
8,1.0,0.327302
