expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,20838,12761,20838,0,0,10284,0,10553,0,1
2,1730,12761,1730,49,0,0,0,1505,39,137
3,48652,12761,48652,6038,14993,0,14999,4,12396,222
4,11440,12761,11440,8912,0,0,0,0,2528,0
