class,rows,weight,mean_residual,clipped_rows
benign,15000,0.8607547619047619,0.39493794302164664,0
bot,15000,0.8607547619047619,0.002842183615875971,0
brute_force,14999,0.8607691080565628,3.8817204536157326,432
ddos,14999,0.8607691080565628,4.034419148097237e-06,0
dos,14999,0.8607978017948517,2.7184400155989388,0
infiltration,15000,0.8607547619047619,0.47588827225173663,0
web_attacks,380,33.93251360991177,6.270791115282709,20
