a,b,agreement
global,e1,0.794
global,e2,0.8045
global,e3,0.8215
global,e4,0.7422
e1,e2,0.9338
e1,e3,0.8785
e1,e4,0.7449
e2,e3,0.9091
e2,e4,0.7089
e3,e4,0.6794
