round,expert,coverage,regime_tune_rows,marginal,action
0,1,0.2779,9,,dropped(min-support)
0,3,0.0553,0,,dropped(min-support)
0,7,0.0473,34,,dropped(min-support)
0,2,0.1121,1607,6.7065,kept(prune off)
0,4,0.1772,297,0.0011,kept(prune off)
0,5,0.0496,85,0.7651,kept(prune off)
0,6,0.3365,83494,0.005,kept(prune off)
0,8,0.2308,408,1.4327,kept(prune off)
