K,beta,tune_expert_balanced_nll
2,0.0,1.262618
2,0.5,2.922108
2,1.0,5.847724
4,0.0,1.110141
4,0.5,2.465339
4,1.0,5.571902
8,0.0,0.866045
8,0.5,2.305241
8,1.0,5.507196
