draw,seed,cal_benign_recall,cal_macro_f1,cal_benign_misrouted,selected
0,46,0.63226,0.801247,18387,False
1,47,0.97508,0.632224,1246,False
2,48,0.9118,0.775425,4410,False
3,49,0.98948,0.754786,526,True
4,50,0.9848,0.754077,760,False
