a,b,agreement
global,e1,0.7936
global,e2,0.8742
global,e3,0.8559
global,e4,0.9864
global,e5,0.8595
e1,e2,0.9153
e1,e3,0.9333
e1,e4,0.8051
e1,e5,0.9313
e2,e3,0.9642
e2,e4,0.8839
e2,e5,0.965
e3,e4,0.8664
e3,e5,0.9805
e4,e5,0.8694
