expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,9852,12761,9852,0,0,0,0,0,9852,0
2,38455,12761,38455,8,0,38447,0,0,0,0
3,241,12761,241,0,0,0,0,0,0,241
4,1929894,12761,186000,175701,1781,660,2551,2382,2925,0
5,5636,12761,5636,0,0,0,0,0,5625,11
