expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.102,0.0001,14.2499
2,0.2646,0.1505,5.511
3,0.0826,0.0003,13.5132
4,0.2859,0.1277,1.1683
5,0.2059,0.0279,6.6423
