bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,9852,9852,True,False
residual,2,38455,38455,True,False
residual,3,241,241,True,False
residual,4,186000,1929894,True,True
residual,5,5636,5636,True,False
