class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,92216,62721,-29495,3493283,3493282
bot,10,10,0,41417,41417
brute_force,21110,21110,0,115020,115020
ddos,201,202,1,198749,228244
dos,16,16,0,38846,38846
infiltration,6820,6820,0,11993,11993
web_attacks,2955,2955,0,478,478
