expert,class_id,threshold,score_scale,local_prior
DoS_DDoS,2,2.5877091884613037,0.18732783198356628,0.3371444344520569
DoS_DDoS,3,2.5877091884613037,0.18732783198356628,0.027106383815407753
DoS_DDoS,4,2.5877091884613037,0.18732783198356628,0.6060050129890442
DoS_DDoS,5,2.5877091884613037,0.18732783198356628,0.014479268342256546
DoS_DDoS,6,2.5877091884613037,0.18732783198356628,0.015264897607266903
Scan_Brute,7,3.664417266845703,0.11753500252962112,0.04594873636960983
Scan_Brute,10,3.664417266845703,0.11753500252962112,0.9199201464653015
Scan_Brute,11,3.664417266845703,0.11753500252962112,0.03413114324212074
WebBot_Rare,1,1.463483452796936,1.197104811668396,0.46860095858573914
WebBot_Rare,8,1.463483452796936,1.197104811668396,0.0027821939438581467
WebBot_Rare,9,1.463483452796936,1.197104811668396,0.008744037710130215
WebBot_Rare,12,1.463483452796936,1.197104811668396,0.3593004643917084
WebBot_Rare,13,1.463483452796936,1.197104811668396,0.005166931543499231
WebBot_Rare,14,1.463483452796936,1.197104811668396,0.15540540218353271
