class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.999964688174511,0.9998782434290192,0.9968165407876587,0.9936836825164949,0.9983881327790772,0.9967713388461122,-0.0016167939329649883
dos-hulk,46025,0.9892873276399854,0.9742725036056673,0.9992178164041282,0.9980445410103205,0.9942277758561051,0.9860152619321048,-0.008212513924000353
portscan,31786,0.9933104095029697,0.9638047650965815,0.9996853960863273,0.9952180205121751,0.9964877069744105,0.9792595344229816,-0.017228172551428833
ddos,25606,0.998050910224925,0.9961080407877325,0.9998828399593845,0.999531359837538,0.9989660352328371,0.9978167641325536,-0.001149271100283511
dos-goldeneye,2059,0.9702689948088721,0.9370404411764706,0.9985429820301117,0.9902865468674114,0.9842029679272379,0.9629279811097993,-0.021274986817438668
ftp-patator,1588,0.9949843260188088,0.9881546134663342,0.9993702770780857,0.9981108312342569,0.9971724787935909,0.9931077694235589,-0.004064709370032005
ssh-patator,1179,0.9808333333333333,1.0,0.998303647158609,0.9889737065309584,0.9894913829340058,0.9944562899786781,0.004964907044672229
dos-slowloris,1159,0.9641068447412354,0.8601503759398497,0.996548748921484,0.9870578084555651,0.9800593975392448,0.9192446765769385,-0.060814720962306223
dos-slowhttptest,1100,0.983739837398374,0.9757194244604317,0.99,0.9863636363636363,0.9868599909379248,0.9810126582278481,-0.005847332710076647
bot,393,0.46445497630331756,0.954248366013072,0.9974554707379135,0.37150127226463103,0.6337914308811641,0.5347985347985348,-0.09899289608262929
web-attack-�-brute-force,302,0.7907949790794979,0.07667731629392971,0.6258278145695364,0.07947019867549669,0.6987060998151571,0.07804878048780488,-0.6206573193273522
web-attack-�-xss,130,0.2747603833865815,0.011061946902654867,0.6615384615384615,0.038461538461538464,0.38826185101580135,0.01718213058419244,-0.3710797204316089
infiltration,7,0.7,0.012195121951219513,1.0,0.14285714285714285,0.8235294117647058,0.02247191011235955,-0.8010575016523462
web-attack-�-sql-injection,4,0.07692307692307693,0.00980392156862745,0.25,0.25,0.11764705882352941,0.018867924528301886,-0.09877913429522753
heartbleed,2,0.6666666666666666,1.0,1.0,1.0,0.8,1.0,0.19999999999999996
macro avg,565877,0.7898764502801436,0.7172743387127727,0.9008793330181134,0.7213040190391442,0.8258527814183195,0.698798770344118,-0.12705401107420156
weighted avg,565877,0.9977074539098816,0.9942335350383675,0.9970346912845017,0.9931964013380999,0.9972732417709446,0.9935773417686763,-0.003695900002268271
