metric,value
baseline_macro_f1,0.8258527814183195
moe_macro_f1,0.698798770344118
baseline_weighted_f1,0.9972732417709446
moe_weighted_f1,0.9935773417686763
test_binary_attack_rate,0.20291688829904733
test_benign_by_binary_rate,0.7970831117009527
test_all_reject_rate,0.0011840028840189652
test_multi_accept_rate,0.15996762547338025
select_mode,meta_router
threshold_mode,per_class_min
threshold_quantile,0.01
external_ood_data,
sc_ood_data,
threshold_DoS_DDoS,2.5877091884613037
threshold_Scan_Brute,3.664417266845703
threshold_WebBot_Rare,1.463483452796936
