class,support,owned_expert,primary_bottleneck,baseline_recall,moe_recall,baseline_f1,moe_f1,delta_f1,benign_gate_rate,all_reject_rate,owned_accept_rate,owned_selected_rate,wrong_expert_selected_rate,local_acc_given_owned_selected,selected_but_wrong_rate,selected_minus_recall,multi_accept_rate,meta_router_rate,stability_tiebreak_rate,mean_owned_margin,mean_owned_stability,mean_owned_local_conf
benign,454537,benign_default,benign_false_accept,0.9968165407876587,0.9936836825164949,0.9983881327790772,0.9967713388461122,-0.0016167939329649883,0.9922646561226038,0.0014190263938909263,,,0.0063163174835051935,,0.0063163174835051935,,0.004204278199574512,0.004204278199574512,0.0,,,
bot,393,WebBot_Rare,binary_gate_miss,0.9974554707379135,0.37150127226463103,0.6337914308811641,0.5347985347985348,-0.09899289608262929,0.05089058524173028,0.0,0.9465648854961832,0.37150127226463103,0.5776081424936387,1.0,0.5776081424936387,0.0,0.8422391857506362,0.8422391857506362,0.0,2.47906494140625,0.9436684250831604,0.9464083313941956
dos-hulk,46025,DoS_DDoS,ok,0.9992178164041282,0.9980445410103205,0.9942277758561051,0.9860152619321048,-0.008212513924000353,0.0,4.345464421510049e-05,0.9987832699619772,0.9980445410103205,0.0019120043454644215,1.0,0.0019120043454644215,0.0,0.7190005431830527,0.7190005431830527,0.0,11.585204124450684,0.6570677161216736,0.9988985061645508
portscan,31786,Scan_Brute,ok,0.9996853960863273,0.9952180205121751,0.9964877069744105,0.9792595344229816,-0.017228172551428833,6.292078273453722e-05,0.00044044547914176053,0.9952494809035425,0.9952180205121751,0.00427861322594853,1.0,0.00427861322594853,0.0,0.7303529855911407,0.7303529855911407,0.0,6.0613908767700195,0.8984826803207397,0.9994248747825623
ddos,25606,DoS_DDoS,ok,0.9998828399593845,0.999531359837538,0.9989660352328371,0.9978167641325536,-0.001149271100283511,0.00011716004061548074,0.0,0.9997656799187691,0.999531359837538,0.0003514801218464422,1.0,0.0003514801218464422,0.0,0.9997656799187691,0.9997656799187691,0.0,11.943258285522461,0.33920836448669434,0.9990982413291931
dos-goldeneye,2059,DoS_DDoS,ok,0.9985429820301117,0.9902865468674114,0.9842029679272379,0.9629279811097993,-0.021274986817438668,0.0,0.00048567265662943174,0.9912578921806702,0.9912578921806702,0.00825643516270034,0.9990200881920627,0.009227780475959204,0.0009713453132588201,0.7989315201554152,0.7989315201554152,0.0,11.415878295898438,0.9360455870628357,0.998373806476593
ftp-patator,1588,Scan_Brute,ok,0.9993702770780857,0.9981108312342569,0.9971724787935909,0.9931077694235589,-0.004064709370032005,0.0,0.0,0.9987405541561712,0.9981108312342569,0.001889168765743073,1.0,0.001889168765743073,0.0,0.9987405541561712,0.9987405541561712,0.0,6.103133678436279,0.24938660860061646,0.9995060563087463
dos-slowloris,1159,DoS_DDoS,ok,0.996548748921484,0.9870578084555651,0.9800593975392448,0.9192446765769385,-0.060814720962306223,0.0025884383088869713,0.0008628127696289905,0.9879206212251941,0.9870578084555651,0.009490940465918895,1.0,0.009490940465918895,0.0,0.9594477998274374,0.9594477998274374,0.0,9.498661041259766,0.5248225927352905,0.9918816685676575
dos-slowhttptest,1100,DoS_DDoS,ok,0.99,0.9863636363636363,0.9868599909379248,0.9810126582278481,-0.005847332710076647,0.0009090909090909091,0.0018181818181818182,0.990909090909091,0.990909090909091,0.006363636363636364,0.9954128440366973,0.01090909090909091,0.00454545454545463,0.8818181818181818,0.8818181818181818,0.0,10.749541282653809,0.5137171745300293,0.9953467845916748
heartbleed,2,WebBot_Rare,ok,1.0,1.0,0.8,1.0,0.19999999999999996,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,2.473625659942627,0.6179137229919434,0.9978520274162292
ssh-patator,1179,Scan_Brute,wrong_expert,0.998303647158609,0.9889737065309584,0.9894913829340058,0.9944562899786781,0.004964907044672229,0.0,0.0,0.991518235793045,0.9889737065309584,0.01102629346904156,1.0,0.01102629346904156,0.0,0.5504664970313825,0.5504664970313825,0.0,6.013814449310303,0.8646903038024902,0.9994937181472778
web-attack-�-brute-force,302,WebBot_Rare,wrong_expert,0.6258278145695364,0.07947019867549669,0.6987060998151571,0.07804878048780488,-0.6206573193273522,0.0,0.0033112582781456954,0.9900662251655629,0.07947019867549669,0.9172185430463576,1.0,0.9172185430463576,0.0,0.9172185430463576,0.9172185430463576,0.0,0.6951632499694824,0.8886072039604187,0.7292137742042542
web-attack-�-xss,130,WebBot_Rare,wrong_expert,0.6615384615384615,0.038461538461538464,0.38826185101580135,0.01718213058419244,-0.3710797204316089,0.007692307692307693,0.03076923076923077,0.9615384615384616,0.038461538461538464,0.9230769230769231,1.0,0.9230769230769231,0.0,0.9615384615384616,0.9615384615384616,0.0,0.5607535243034363,0.8116141557693481,0.6627291440963745
infiltration,7,WebBot_Rare,wrong_expert,1.0,0.14285714285714285,0.8235294117647058,0.02247191011235955,-0.8010575016523462,0.0,0.0,1.0,0.14285714285714285,0.8571428571428571,1.0,0.8571428571428571,0.0,1.0,1.0,0.0,2.1321191787719727,0.9982615113258362,0.9956148862838745
web-attack-�-sql-injection,4,WebBot_Rare,wrong_expert,0.25,0.25,0.11764705882352941,0.018867924528301886,-0.09877913429522753,0.0,0.0,0.75,0.5,0.5,0.5,0.75,0.25,0.25,0.25,0.0,1.3783478736877441,0.43362632393836975,0.9270331263542175
