expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,8465,12761,8465,4995,38,0,0,1648,1784,0
2,15823,12761,15823,0,0,0,0,0,15813,10
3,1926137,12761,186000,130743,14746,13775,14677,11171,888,0
4,242,12761,242,0,0,0,0,0,0,242
