K,beta,tune_expert_balanced_nll
2,0.0,0.192018
2,0.5,0.220564
2,1.0,0.272048
4,0.0,0.188365
4,0.5,0.219943
4,1.0,0.280718
8,0.0,0.208142
8,0.5,0.225124
8,1.0,0.274431
