class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,17247,16162,-1085,19974,19974
bot,11,11,0,19933,19932
brute_force,0,6976,6976,6573,19998
ddos,1,1,0,18212,18399
dos,1,1,0,11387,12138
infiltration,13,14,1,1724,6260
web_attacks,24986,196,-24790,456,456
