expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48196,normgain,0.9193,821,3067,0.7344,0.6507
2,48196,normgain,0.9294,311,3094,0.7775,0.7448
3,48196,normgain,0.8255,1464,6944,0.7072,0.7627
4,48196,normgain,0.8904,1477,3807,0.7231,0.7441
