a,b,agreement
global,e1,0.612
global,e2,0.6137
global,e3,0.758
global,e4,0.6175
e1,e2,0.9367
e1,e3,0.8519
e1,e4,0.9323
e2,e3,0.8542
e2,e4,0.991
e3,e4,0.8518
