expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,9029,12761,9029,0,0,0,0,0,9023,6
2,1524,12761,1524,42,0,0,0,0,1119,363
3,61089,12761,61089,14958,14993,4931,14950,9766,1490,1
4,3375,12761,3375,0,0,0,0,0,3368,7
