class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,20000,19974,0,0,26,0
bot,20000,19932,0,1,67,0
brute_force,20002,6573,13425,0,4,0
ddos,20002,18210,189,2,1601,0
dos,20005,11387,751,0,7867,6976
infiltration,20000,1724,4536,0,13740,5
web_attacks,509,455,1,1,52,0
