class,rows,proposed,accepted
benign,20000,2901,2387
bot,20000,19688,19608
brute_force,20002,13425,13425
ddos,20002,8897,6508
dos,20005,8187,8093
infiltration,20000,4811,4708
web_attacks,509,399,245
