expert,anchor_rows,block_rows,fit_s,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),2100,0,0.0,300,300,300,300,300,300,300
1,2100,4000,0.3,74,0,3138,0,566,129,93
2,2100,4000,0.3,3916,0,0,0,68,0,16
3,2100,4000,0.3,3927,0,0,0,57,0,16
4,2100,4000,0.3,3936,0,0,0,48,0,16
