expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,1973316,12761,186000,125593,3995,41427,8859,4051,2075,0
2,26684,12761,26684,0,12,0,0,10527,15893,252
