K,beta,tune_expert_balanced_nll
2,0.0,1.379819
2,0.5,2.75322
2,1.0,5.64735
4,0.0,1.092825
4,0.5,2.590147
4,1.0,5.690756
8,0.0,0.905871
8,0.5,2.376368
8,1.0,5.482689
