expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9146,12419,4839,0.8159,0.0166
2,202121,normgain,0.8807,3673,20446,0.711,0.6989
