expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9747,1,5117,0.7663,0.6148
2,202121,normgain,0.9665,0,6776,0.6344,0.332
3,202121,normgain,0.9184,8462,8034,0.7826,0.4144
4,202121,normgain,0.848,1327,29403,0.8359,0.3886
