class,winner,rows
brute_force,bf_bot,797
benign,global,796
bot,bf_bot,793
ddos,flood,791
infiltration,global,535
web_attacks,web,447
dos,flood,397
dos,bf_bot,289
infiltration,web,204
dos,web,110
web_attacks,global,59
infiltration,flood,39
infiltration,inf,22
ddos,bf_bot,7
bot,inf,4
dos,global,4
benign,flood,3
bot,web,3
brute_force,web,3
ddos,global,2
web_attacks,flood,2
benign,web,1
web_attacks,inf,1
