expert,anchor_rows,block_rows,fit_s,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),2100,0,0.0,300,300,300,300,300,300,300
1,2100,4000,0.3,0,0,3138,0,757,6,99
2,2100,4000,0.3,0,0,0,0,4000,0,0
3,2100,4000,0.4,0,0,3138,0,828,0,34
4,2100,4000,0.3,2678,0,0,0,0,1279,43
