arm,bucket,cls,support,precision,recall,f1
realistic_oracle_majority,all,benign,3502926,0.995181425469389,0.9997148098475389,0.9974429666201402
realistic_oracle_majority,all,bot,41542,1.0,1.0,1.0
realistic_oracle_majority,all,brute_force,115040,0.8449504223283144,1.0,0.9159600302559815
realistic_oracle_majority,all,ddos,264872,0.999483036425178,1.0,0.9997414513824802
realistic_oracle_majority,all,dos,60594,1.0,0.6516156715186322,0.7890645296668598
realistic_oracle_majority,all,infiltration,37631,0.9588394371361783,0.5558980627673992,0.703774727492935
realistic_oracle_majority,all,web_attacks,509,0.9432314410480349,0.4243614931237721,0.5853658536585366
realistic_oracle_majority,seen_same_label,benign,1743432,0.9997923353382725,0.9996564247989024,0.9997243754493956
realistic_oracle_majority,seen_same_label,bot,39683,1.0,1.0,1.0
realistic_oracle_majority,seen_same_label,brute_force,77454,1.0,1.0,1.0
realistic_oracle_majority,seen_same_label,ddos,79154,1.0,1.0,1.0
realistic_oracle_majority,seen_same_label,dos,6322,1.0,1.0,1.0
realistic_oracle_majority,seen_same_label,infiltration,9651,0.9413919413919414,0.9852864988084137,0.9628392061563386
realistic_oracle_majority,seen_same_label,web_attacks,226,0.46153846153846156,0.02654867256637168,0.0502092050209205
realistic_oracle_majority,seen_diff_label,benign,8255,0.3299011195554466,0.9780738946093277,0.4933850713434569
realistic_oracle_majority,seen_diff_label,bot,0,0.0,0.0,0.0
realistic_oracle_majority,seen_diff_label,brute_force,0,0.0,0.0,0.0
realistic_oracle_majority,seen_diff_label,ddos,0,0.0,0.0,0.0
realistic_oracle_majority,seen_diff_label,dos,21111,1.0,4.736867036142295e-05,9.473285335354301e-05
realistic_oracle_majority,seen_diff_label,infiltration,18636,0.9629156010230179,0.121216999356085,0.21532742350586218
realistic_oracle_majority,seen_diff_label,web_attacks,155,0.9325842696629213,0.535483870967742,0.680327868852459
realistic_oracle_majority,unseen,benign,1751239,0.9998892197070147,0.9998749456813147,0.9998820826432218
realistic_oracle_majority,unseen,bot,1859,1.0,1.0,1.0
realistic_oracle_majority,unseen,brute_force,37586,1.0,1.0,1.0
realistic_oracle_majority,unseen,ddos,185718,1.0,1.0,1.0
realistic_oracle_majority,unseen,dos,33161,1.0,1.0,1.0
realistic_oracle_majority,unseen,infiltration,9344,0.9766275346851654,0.9793450342465754,0.9779843967083467
realistic_oracle_majority,unseen,web_attacks,128,1.0,0.9921875,0.996078431372549
baseline,all,benign,3502926,0.9913526269013495,0.9973382252436963,0.9943364182904744
baseline,all,bot,41542,1.0,0.9956188917240383,0.9978046368000772
baseline,all,brute_force,115040,0.8449276426944832,0.999826147426982,0.9158737110323685
baseline,all,ddos,264872,0.9994750354446871,0.9847511250717328,0.992058451017606
baseline,all,dos,60594,1.0,0.6423243225401855,0.7822137366226197
baseline,all,infiltration,37631,0.6320852296235002,0.32478541627913154,0.42909052609405446
baseline,all,web_attacks,509,0.10512710038776389,0.4793713163064833,0.1724381625441696
baseline,seen_same_label,benign,1743432,0.9998835708755126,0.9999512455891598,0.999917407087275
baseline,seen_same_label,bot,39683,1.0,1.0,1.0
baseline,seen_same_label,brute_force,77454,1.0,1.0,1.0
baseline,seen_same_label,ddos,79154,1.0,1.0,1.0
baseline,seen_same_label,dos,6322,1.0,1.0,1.0
baseline,seen_same_label,infiltration,9651,0.9992601204946623,0.9795876075018133,0.9893260778568439
baseline,seen_same_label,web_attacks,226,0.738255033557047,0.9734513274336283,0.8396946564885496
baseline,seen_diff_label,benign,8255,0.24256228331855195,0.7288915808600848,0.36399382958773174
baseline,seen_diff_label,bot,0,0.0,0.0,0.0
baseline,seen_diff_label,brute_force,0,0.0,0.0,0.0
baseline,seen_diff_label,ddos,0,0.0,0.0,0.0
baseline,seen_diff_label,dos,21111,0.0,0.0,0.0
baseline,seen_diff_label,infiltration,18636,0.0058823529411764705,5.365958360163125e-05,0.00010634903754121025
baseline,seen_diff_label,web_attacks,155,0.001034126163391934,0.012903225806451613,0.0019147917663954045
baseline,unseen,benign,1751239,0.9934602328389492,0.9960022589720764,0.9947296218746783
baseline,unseen,bot,1859,1.0,0.9020979020979021,0.9485294117647058
baseline,unseen,brute_force,37586,1.0,0.9994678869791944,0.9997338726846924
baseline,unseen,ddos,185718,1.0,0.97825197342207,0.9890064426220138
baseline,unseen,dos,33161,1.0,0.9830523808087814,0.9914537712895377
baseline,unseen,infiltration,9344,0.28511076764554355,0.2961258561643836,0.2905139377395139
baseline,unseen,web_attacks,128,0.24719101123595505,0.171875,0.20276497695852536
dedup_xy,all,benign,3502926,0.9635753918599234,0.9582534715263754,0.9609070629735469
dedup_xy,all,bot,41542,0.9999758202964432,0.9955226036300612,0.9977442429944873
dedup_xy,all,brute_force,115040,0.9996815962640628,0.3275034770514604,0.49337384107694726
dedup_xy,all,ddos,264872,1.0,0.9821045637137938,0.9909714973600201
dedup_xy,all,dos,60594,1.0,0.6507244941743406,0.788410781412461
dedup_xy,all,infiltration,37631,0.09048700479434772,0.3811750950014616,0.1462546711462088
dedup_xy,all,web_attacks,509,0.10132890365448505,0.4793713163064833,0.16729516626671237
dedup_xy,seen_same_label,benign,1743432,0.952693123762787,0.9219981048873716,0.9370943238273794
dedup_xy,seen_same_label,bot,39683,1.0,1.0,1.0
dedup_xy,seen_same_label,brute_force,77454,1.0,0.0014201977948201513,0.002836367386932082
dedup_xy,seen_same_label,ddos,79154,1.0,0.972307148091063,0.9859591585743934
dedup_xy,seen_same_label,dos,6322,1.0,1.0,1.0
dedup_xy,seen_same_label,infiltration,9651,0.06452056963114387,0.9712983110558492,0.12100324000567969
dedup_xy,seen_same_label,web_attacks,226,0.738255033557047,0.9734513274336283,0.8396946564885496
dedup_xy,seen_diff_label,benign,8255,0.13909886044440384,0.7378558449424591,0.23407117054799784
dedup_xy,seen_diff_label,bot,0,0.0,0.0,0.0
dedup_xy,seen_diff_label,brute_force,0,0.0,0.0,0.0
dedup_xy,seen_diff_label,ddos,0,0.0,0.0,0.0
dedup_xy,seen_diff_label,dos,21111,0.0,0.0,0.0
dedup_xy,seen_diff_label,infiltration,18636,0.9046836483155299,0.11815840309079202,0.2090175605125771
dedup_xy,seen_diff_label,web_attacks,155,0.001034126163391934,0.012903225806451613,0.0019147917663954045
dedup_xy,unseen,benign,1751239,0.9946528732746373,0.9953861237672299,0.995019363434062
dedup_xy,unseen,bot,1859,0.9994026284348865,0.8999462076385153,0.9470704783470139
dedup_xy,unseen,brute_force,37586,0.9996806642184257,0.9994678869791944,0.999574264275451
dedup_xy,unseen,ddos,185718,1.0,0.9862802743945122,0.9930927544403721
dedup_xy,unseen,dos,33161,1.0,0.9984017369801875,0.9992002293681812
dedup_xy,unseen,infiltration,9344,0.2563200296323734,0.2962328767123288,0.27483493024872163
dedup_xy,unseen,web_attacks,128,0.125,0.171875,0.14473684210526316
dedup_majority,all,benign,3502926,0.964973210094148,0.9969728164397421,0.9807120543026249
dedup_majority,all,bot,41542,0.9998792795402965,0.9968947089692359,0.9983847637415622
dedup_majority,all,brute_force,115040,0.9997611781876078,0.3275034770514604,0.49338353249304306
dedup_majority,all,ddos,264872,1.0,0.9906596393729802,0.995307906765035
dedup_majority,all,dos,60594,1.0,0.6507244941743406,0.788410781412461
dedup_majority,all,infiltration,37631,0.5881044487427466,0.3231909861550318,0.4171425631527499
dedup_majority,all,web_attacks,509,0.1005794701986755,0.4774066797642436,0.16615384615384615
dedup_majority,seen_same_label,benign,1743432,0.9562162503119574,0.9999472305200318,0.9775929268151126
dedup_majority,seen_same_label,bot,39683,1.0,1.0,1.0
dedup_majority,seen_same_label,brute_force,77454,1.0,0.0014201977948201513,0.002836367386932082
dedup_majority,seen_same_label,ddos,79154,1.0,0.972307148091063,0.9859591585743934
dedup_majority,seen_same_label,dos,6322,1.0,1.0,1.0
dedup_majority,seen_same_label,infiltration,9651,0.9985077808569601,0.9706766138224018,0.9843955235643356
dedup_majority,seen_same_label,web_attacks,226,0.738255033557047,0.9734513274336283,0.8396946564885496
dedup_majority,seen_diff_label,benign,8255,0.1321456538762725,0.7359176256814052,0.2240581260257805
dedup_majority,seen_diff_label,bot,0,0.0,0.0,0.0
dedup_majority,seen_diff_label,brute_force,0,0.0,0.0,0.0
dedup_majority,seen_diff_label,ddos,0,0.0,0.0,0.0
dedup_majority,seen_diff_label,dos,21111,0.0,0.0,0.0
dedup_majority,seen_diff_label,infiltration,18636,0.01195219123505976,0.00016097875080489375,0.00031767882670620003
dedup_majority,seen_diff_label,web_attacks,155,0.001034126163391934,0.012903225806451613,0.0019147917663954045
dedup_majority,unseen,benign,1751239,0.995975313580388,0.995242225647099,0.9956086346666804
dedup_majority,unseen,bot,1859,0.9971181556195965,0.9306078536847767,0.9627156371730662
dedup_majority,unseen,brute_force,37586,0.9997604790419161,0.9994678869791944,0.9996141615997658
dedup_majority,unseen,ddos,185718,1.0,0.9984815688301618,0.9992402075688259
dedup_majority,unseen,dos,33161,1.0,0.9984017369801875,0.9992002293681812
dedup_majority,unseen,infiltration,9344,0.2526477776771974,0.2986943493150685,0.2737482222549164
dedup_majority,unseen,web_attacks,128,0.11413043478260869,0.1640625,0.1346153846153846
drop_conflict,all,benign,3502926,0.9649920131768763,0.9968195160274582,0.9806475874218867
drop_conflict,all,bot,41542,0.9999758214657027,0.9955707476770498,0.997768422576326
drop_conflict,all,brute_force,115040,0.9995755067388306,0.3275034770514604,0.4933609197810544
drop_conflict,all,ddos,264872,1.0,0.9907955540789514,0.9953764986554297
drop_conflict,all,dos,60594,1.0,0.6507244941743406,0.788410781412461
drop_conflict,all,infiltration,37631,0.573773567207579,0.32510430230395154,0.41504249147626077
drop_conflict,all,web_attacks,509,0.10053785684733141,0.4774066797642436,0.16609706083390294
drop_conflict,seen_same_label,benign,1743432,0.9562478162304064,0.9999495248452478,0.9776105195482121
drop_conflict,seen_same_label,bot,39683,1.0,1.0,1.0
drop_conflict,seen_same_label,brute_force,77454,1.0,0.0014201977948201513,0.002836367386932082
drop_conflict,seen_same_label,ddos,79154,1.0,0.972307148091063,0.9859591585743934
drop_conflict,seen_same_label,dos,6322,1.0,1.0,1.0
drop_conflict,seen_same_label,infiltration,9651,0.998940453485908,0.9768935861568749,0.9877940174969878
drop_conflict,seen_same_label,web_attacks,226,0.738255033557047,0.9734513274336283,0.8396946564885496
drop_conflict,seen_diff_label,benign,8255,0.13027270943692368,0.7239248940036341,0.2208099320130062
drop_conflict,seen_diff_label,bot,0,0.0,0.0,0.0
drop_conflict,seen_diff_label,brute_force,0,0.0,0.0,0.0
drop_conflict,seen_diff_label,ddos,0,0.0,0.0,0.0
drop_conflict,seen_diff_label,dos,21111,0.0,0.0,0.0
drop_conflict,seen_diff_label,infiltration,18636,0.008571428571428572,0.00016097875080489375,0.00031602233224481196
drop_conflict,seen_diff_label,web_attacks,155,0.001034126163391934,0.012903225806451613,0.0019147917663954045
drop_conflict,unseen,benign,1751239,0.9959913757132127,0.9949898329125836,0.9954903524049502
drop_conflict,unseen,bot,1859,0.9994033412887828,0.9010220548682087,0.9476661951909476
drop_conflict,unseen,brute_force,37586,0.999574264275451,0.9994678869791944,0.9995210727969349
drop_conflict,unseen,ddos,185718,1.0,0.9986754111071625,0.9993372666289502
drop_conflict,unseen,dos,33161,1.0,0.9984017369801875,0.9992002293681812
drop_conflict,unseen,infiltration,9344,0.24302063464539622,0.299978595890411,0.2685123096082
drop_conflict,unseen,web_attacks,128,0.11351351351351352,0.1640625,0.134185303514377
