arm,bucket,rows,accuracy,macro_f1,n_train
realistic_oracle_majority,seen_same_label,1955922,0.9995086716136942,0.858967540946665,
realistic_oracle_majority,seen_diff_label,48157,0.21631330855327366,0.19844787093644736,
realistic_oracle_majority,unseen,2019035,0.9997954468347503,0.9962778443891596,
realistic_oracle_majority,all,4023114,0.9902776804236718,0.8559070798681333,0.0
baseline,seen_same_label,1955922,0.9998527548644578,0.9755625916332383,
baseline,seen_diff_label,48157,0.12500778702992296,0.05228785291309548,
baseline,unseen,2019035,0.9908436456029737,0.7738188621333811,
baseline,all,4023114,0.9848594894402694,0.7548308060573385,12069313.0
dedup_xy,seen_same_label,1955922,0.8896632892313702,0.6980839637547048,
dedup_xy,seen_diff_label,48157,0.17224910189588222,0.06357193183242434,
dedup_xy,unseen,2019035,0.9912983182559986,0.7647898374598664,
dedup_xy,all,4023114,0.9320822129325691,0.6492796090329119,5263971.0
dedup_majority,seen_same_label,1955922,0.9591410086905306,0.8272112332613318,
dedup_majority,seen_diff_label,48157,0.12625371181759662,0.03232722808841173,
dedup_majority,unseen,2019035,0.9923349520934506,0.7663917824638314,
dedup_majority,all,4023114,0.9658299516245377,0.6913564925744745,5250813.0
drop_conflict,seen_same_label,1955922,0.9591737298317622,0.8276992456421536,
drop_conflict,seen_diff_label,48157,0.12419793591793508,0.03186296373023521,
drop_conflict,unseen,2019035,0.9921125686280823,0.7634161042160772,
drop_conflict,all,4023114,0.965709646805932,0.6909576803081888,5237698.0
