class_a,class_b,distance
web-attack-brute-force,web-attack-xss,0.12095869332551956
ssh-patator,web-attack-brute-force,0.16902896761894226
ssh-patator,web-attack-xss,0.2897154688835144
bot,web-attack-xss,0.3335011303424835
ftp-patator,portscan,0.3404250144958496
bot,portscan,0.36162710189819336
bot,web-attack-brute-force,0.3878234624862671
bot,ftp-patator,0.4124874472618103
normal,web-attack-sql-injection,0.45166701078414917
bot,ssh-patator,0.4944325387477875
ssh-patator,web-attack-sql-injection,0.553816556930542
web-attack-brute-force,web-attack-sql-injection,0.5651582479476929
ftp-patator,web-attack-xss,0.5661311149597168
normal,web-attack-xss,0.5776176452636719
web-attack-sql-injection,web-attack-xss,0.6125069856643677
normal,web-attack-brute-force,0.622157096862793
portscan,web-attack-xss,0.6712395548820496
ftp-patator,web-attack-brute-force,0.676828145980835
normal,ssh-patator,0.7258557677268982
ddos,dos-goldeneye,0.7317829132080078
portscan,web-attack-brute-force,0.7447339296340942
ftp-patator,ssh-patator,0.8313643336296082
portscan,ssh-patator,0.8554559350013733
bot,normal,0.8745659589767456
ftp-patator,normal,0.8762261271476746
bot,web-attack-sql-injection,0.9422845244407654
ftp-patator,web-attack-sql-injection,1.1225931644439697
dos-slowhttptest,dos-slowloris,1.1273188591003418
normal,portscan,1.134623408317566
portscan,web-attack-sql-injection,1.2824996709823608
dos-goldeneye,dos-slowhttptest,2.3279783725738525
dos-hulk,dos-slowhttptest,2.484360456466675
dos-hulk,dos-slowloris,2.669611930847168
ddos,web-attack-sql-injection,2.767280340194702
dos-goldeneye,web-attack-sql-injection,2.795701265335083
dos-goldeneye,normal,2.8066868782043457
dos-goldeneye,dos-hulk,2.8510584831237793
ddos,normal,2.8941571712493896
ddos,dos-slowhttptest,3.059497117996216
ddos,dos-hulk,3.297683000564575
ddos,ssh-patator,3.3078980445861816
ddos,web-attack-brute-force,3.3315048217773438
dos-goldeneye,web-attack-brute-force,3.335892677307129
dos-goldeneye,web-attack-xss,3.3420968055725098
dos-goldeneye,ssh-patator,3.3493831157684326
ddos,web-attack-xss,3.363840103149414
dos-goldeneye,dos-slowloris,3.4061245918273926
dos-goldeneye,ftp-patator,3.6589853763580322
bot,dos-goldeneye,3.666908025741577
bot,ddos,3.697272777557373
dos-slowhttptest,normal,3.7170498371124268
ddos,ftp-patator,3.7703311443328857
dos-goldeneye,portscan,3.9404799938201904
dos-slowhttptest,web-attack-sql-injection,3.9794323444366455
ddos,portscan,4.010786533355713
ddos,dos-slowloris,4.13133430480957
dos-slowhttptest,web-attack-xss,4.278525352478027
dos-slowhttptest,ftp-patator,4.28996467590332
dos-slowhttptest,web-attack-brute-force,4.338021755218506
dos-slowhttptest,ssh-patator,4.43759822845459
bot,dos-slowhttptest,4.514663219451904
dos-slowhttptest,portscan,4.630002975463867
dos-slowloris,normal,4.739671230316162
dos-slowloris,web-attack-sql-injection,5.0373640060424805
dos-slowloris,ftp-patator,5.226109504699707
dos-slowloris,web-attack-xss,5.2827677726745605
dos-slowloris,web-attack-brute-force,5.352956295013428
dos-hulk,normal,5.44564151763916
dos-slowloris,ssh-patator,5.465411186218262
bot,dos-slowloris,5.491479873657227
dos-hulk,web-attack-sql-injection,5.540832996368408
dos-slowloris,portscan,5.565427780151367
dos-hulk,web-attack-xss,6.017800331115723
dos-hulk,web-attack-brute-force,6.03712797164917
dos-hulk,ssh-patator,6.082492828369141
dos-hulk,ftp-patator,6.211569309234619
bot,dos-hulk,6.318398475646973
dos-hulk,portscan,6.53175687789917
ddos,infiltration,9.023079872131348
dos-goldeneye,infiltration,9.58060073852539
dos-hulk,infiltration,9.65995979309082
infiltration,web-attack-sql-injection,11.212295532226562
dos-slowhttptest,infiltration,11.446709632873535
infiltration,normal,11.5361967086792
infiltration,ssh-patator,11.597967147827148
infiltration,web-attack-brute-force,11.70734691619873
infiltration,web-attack-xss,11.794182777404785
bot,infiltration,12.08867359161377
dos-slowloris,infiltration,12.147650718688965
ftp-patator,infiltration,12.334468841552734
infiltration,portscan,12.449956893920898
heartbleed,infiltration,174.3500213623047
ddos,heartbleed,182.95191955566406
dos-goldeneye,heartbleed,183.61695861816406
dos-hulk,heartbleed,184.00473022460938
heartbleed,web-attack-sql-injection,184.35350036621094
heartbleed,ssh-patator,184.5169219970703
heartbleed,web-attack-brute-force,184.67352294921875
heartbleed,normal,184.7808074951172
heartbleed,web-attack-xss,184.78916931152344
bot,heartbleed,184.97952270507812
heartbleed,portscan,185.3073272705078
ftp-patator,heartbleed,185.3482208251953
dos-slowhttptest,heartbleed,185.70541381835938
dos-slowloris,heartbleed,186.48013305664062
