class,train_support,best_expert,aff_head,aff_balanced,aff_tail
class_0,4000,tail,0.812,0.784,0.843
class_1,2397,head,0.815,0.795,0.755
class_2,1437,head,0.5097493036211699,0.48746518105849584,0.35376044568245124
class_3,861,balanced,0.38425925925925924,0.4074074074074074,0.25
class_4,516,balanced,0.2558139534883721,0.2868217054263566,0.2713178294573643
class_5,310,balanced,0.05194805194805195,0.15584415584415584,0.15584415584415584
class_6,186,tail,0.06521739130434782,0.06521739130434782,0.2391304347826087
class_7,111,tail,0.0,0.0,0.03571428571428571
class_8,66,head,0.0,0.0,0.0
class_9,40,head,0.0,0.0,0.0
