expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15627,12761,15627,0,0,0,0,0,15627,0
2,40017,12761,40017,11,0,38556,0,0,1450,0
3,1931620,12761,186000,181021,824,289,1132,1975,759,0
