K,beta,tune_expert_balanced_nll
2,0.0,1.08708
2,0.5,2.511688
2,1.0,5.268486
4,0.0,1.303671
4,0.5,2.880251
4,1.0,6.436881
8,0.0,1.10699
8,0.5,2.938436
8,1.0,6.78832
